Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,28953.0,31420.0,28866.0,30445.0,25196.0,26940.0,20694.0,16933.0,14709.0,15517.0,21357.0,28341.0,28827.0,35104.0,203321.0,301017.0
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,1217.0,1551.0,1633.0,1619.0,1871.0,1367.0,1044.0,774.0,639.0,441.0,430.0,699.0,1134.0,1211.0,6619.0,11809.0
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,13.0,742.0,781.0,584.0,949.0,578.0,368.0,269.0,143.0,110.0,75.0,159.0,220.0,257.0,2163.0,3448.0
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,100.0,84.0,68.0,88.0,37.0,41.0,26.0,25.0,30.0,30.0,60.0,77.0,86.0,109.0,416.0,909.0
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,102.0,99.0,89.0,218.0,236.0,148.0,109.0,62.0,50.0,34.0,29.0,64.0,228.0,152.0,647.0,1155.0
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,20.0,61.0,138.0
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,21.0,24.0,41.0,108.0,48.0,12.0,13.0,9.0,8.0,3.0,2.0,15.0,33.0,26.0,174.0,350.0
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,30.0,25.0,28.0,28.0,30.0,26.0,12.0,7.0,10.0,2.0,9.0,11.0,38.0,40.0,181.0,336.0
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,35.0,40.0,48.0,80.0,62.0,75.0,70.0,56.0,60.0,20.0,12.0,21.0,55.0,40.0,439.0,695.0
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,39.0,49.0,54.0,45.0,32.0,39.0,37.0,19.0,19.0,6.0,11.0,13.0,25.0,46.0,160.0,280.0
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,7.0,13.0,11.0,13.0,11.0,26.0,15.0,12.0,5.0,6.0,4.0,16.0,55.0,29.0,146.0,311.0
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,41.0,35.0,33.0,38.0,29.0,37.0,28.0,20.0,28.0,13.0,13.0,27.0,32.0,55.0,303.0,470.0
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,45.0,30.0,28.0,33.0,0.0,0.0,0.0,0.0,0.0,19.0,32.0,42.0,40.0,48.0,169.0,288.0
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,162.0,65.0,78.0,70.0,53.0,18.0,10.0,8.0,9.0,10.0,15.0,40.0,24.0,29.0,123.0,263.0
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,Тўрткўл тумани,64.0,49.0,44.0,40.0,156.0,143.0,139.0,144.0,136.0,110.0,95.0,78.0,79.0,87.0,549.0,1016.0
1735236,Xo‘jayli tumani,Ходжейлийский район,Khojeyli district,Хўжайли тумани,47.0,104.0,150.0,77.0,88.0,137.0,113.0,82.0,90.0,47.0,34.0,40.0,65.0,87.0,334.0,587.0
1735240,Chimboy tumani,Чимбайский район,Chimbay district,Чимбой тумани,7.0,85.0,80.0,67.0,37.0,13.0,55.0,34.0,31.0,17.0,30.0,42.0,52.0,56.0,218.0,427.0
1735243,Shumanay tumani,Шуманайский район,Shumanai district,Шуманай тумани,54.0,29.0,26.0,57.0,29.0,31.0,23.0,19.0,12.0,8.0,5.0,18.0,33.0,50.0,186.0,312.0
1735250,Ellikkala tumani,Элликкалинский район,Ellikkala district,Елликкала тумани,450.0,78.0,74.0,73.0,74.0,43.0,26.0,8.0,8.0,6.0,4.0,33.0,62.0,80.0,350.0,824.0
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,1904.0,1533.0,1515.0,1612.0,1562.0,2054.0,1985.0,1444.0,1377.0,1525.0,3206.0,4256.0,3280.0,3267.0,21114.0,28138.0
1703401,Andijon shahri,Город Андижан,Andijan city,Aндижон шаҳри,449.0,365.0,398.0,487.0,456.0,533.0,473.0,368.0,351.0,357.0,385.0,593.0,358.0,427.0,6314.0,7728.0
1703408,Xonobod shahri,Город Ханабад,Khanabadcity,Хонобод шаҳри,27.0,6.0,6.0,6.0,18.0,15.0,7.0,8.0,3.0,7.0,7.0,32.0,33.0,22.0,400.0,548.0
1703202,Oltinko‘l tumani,Алтынкульский район,Altynkul  district,Олтинкўл тумани,88.0,120.0,98.0,78.0,79.0,149.0,164.0,55.0,164.0,124.0,323.0,358.0,206.0,239.0,991.0,1329.0
1703203,Andijon tumani,Андижанский район,Andijan district,Aндижон тумани,213.0,214.0,195.0,192.0,228.0,247.0,199.0,178.0,170.0,186.0,463.0,881.0,932.0,497.0,1717.0,2280.0
1703206,Baliqchi tumani,Балыкчинский район,Balykchi district,Балиқчи тумани,156.0,78.0,62.0,53.0,52.0,40.0,139.0,44.0,103.0,64.0,132.0,149.0,89.0,132.0,1225.0,1539.0
1703209,Bo‘ston tumani,Бустонский район,Bustan district,Бўстон тумани,93.0,60.0,45.0,41.0,40.0,40.0,46.0,29.0,10.0,10.0,174.0,206.0,166.0,192.0,516.0,883.0
1703210,Buloqboshi tumani,Булакбашинский район,Bulakbashi district,Булоқбоши тумани,85.0,43.0,46.0,40.0,55.0,31.0,30.0,19.0,12.0,11.0,96.0,130.0,176.0,138.0,673.0,964.0
1703211,Jalaquduq tumani,Жалакудукский район,Jalаquduk district,Жалақудуқ тумани,87.0,74.0,100.0,99.0,67.0,83.0,73.0,47.0,42.0,39.0,202.0,236.0,145.0,171.0,678.0,1025.0
1703214,Izboskan tumani,Избасканский район,Izbaskan district,Избоскан тумани,31.0,23.0,19.0,63.0,28.0,45.0,22.0,78.0,58.0,125.0,346.0,360.0,256.0,261.0,1164.0,1528.0
1703217,Ulug‘nor tumani,Улугноpский район,Ulugnor district,Улуғнор тумани,71.0,18.0,23.0,31.0,31.0,28.0,20.0,15.0,2.0,3.0,124.0,123.0,89.0,92.0,344.0,503.0
1703220,Qo‘rg‘ontepa tumani,Кургантепинский район,Kurgantepa district,Қўрғонтепа тумани,134.0,111.0,104.0,104.0,97.0,304.0,174.0,181.0,146.0,226.0,193.0,252.0,197.0,242.0,1186.0,1530.0
1703224,Asaka tumani,Асакинский район,Asaka district,Aсака тумани,157.0,137.0,184.0,165.0,172.0,232.0,255.0,103.0,44.0,30.0,138.0,214.0,131.0,174.0,2039.0,2614.0
1703227,Marxamat tumani,Мархаматский район,Markhamat district,Мархамат тумани,81.0,100.0,53.0,49.0,60.0,65.0,58.0,51.0,39.0,33.0,296.0,328.0,208.0,226.0,892.0,1271.0
1703230,Shaxrixon tumani,Шахриханский район,Shakhrikhan district,Шахрихон тумани,115.0,92.0,87.0,80.0,90.0,94.0,232.0,222.0,185.0,256.0,250.0,284.0,186.0,272.0,1395.0,1897.0
1703232,Paxtaobod tumani,Пахтаабадский район,Pakhtaabad district,Пахтаобод тумани,31.0,25.0,55.0,76.0,59.0,53.0,66.0,28.0,36.0,28.0,31.0,52.0,41.0,84.0,813.0,1221.0
1703404,Asaka shahar,Город  Асака,Asaka сity,Aсака шаҳар,31.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1703236,Xo‘jaobod tumani,Ходжаабадский район,Khojaabad district,Хўжаобод тумани,55.0,41.0,40.0,48.0,30.0,95.0,27.0,18.0,12.0,26.0,46.0,58.0,67.0,98.0,767.0,1278.0
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,2694.0,1988.0,2158.0,2713.0,3254.0,3111.0,1498.0,1047.0,913.0,978.0,1085.0,1411.0,1998.0,2219.0,8200.0,15146.0
1706401,Buxoro shahri,Город Бухара,Bukhara city,Бухоро шаҳри,1131.0,921.0,674.0,820.0,1148.0,866.0,406.0,281.0,150.0,167.0,263.0,325.0,425.0,468.0,2303.0,3866.0
1706403,Kogon shahri,Город Каган,Kagan city,Когон шаҳри,71.0,112.0,139.0,121.0,108.0,87.0,24.0,15.0,16.0,21.0,20.0,98.0,118.0,140.0,400.0,609.0
1706204,Olot tumani,Алатский район,Alat district,Олот тумани,6.0,4.0,4.0,9.0,8.0,48.0,18.0,32.0,50.0,81.0,83.0,103.0,157.0,171.0,377.0,680.0
1706207,Buxoro tumani,Бухарский район,Bukhara district,Бухоро тумани,81.0,37.0,103.0,234.0,281.0,258.0,144.0,78.0,147.0,149.0,124.0,56.0,113.0,129.0,648.0,1101.0
1706212,Vobkent tumani,Вабкентский район,Vobkent district,Бухоро тумани,75.0,27.0,73.0,105.0,80.0,72.0,20.0,18.0,22.0,32.0,29.0,41.0,70.0,105.0,354.0,879.0
1706215,G‘ijduvon tumani,Гиждуванский район,Gijduvan district,Ғиждувон тумани,436.0,173.0,241.0,245.0,571.0,510.0,301.0,206.0,149.0,163.0,241.0,265.0,316.0,306.0,1001.0,1691.0
1706219,Kogon tumani,Каганский район,Kagan district,Когон тумани,72.0,95.0,95.0,58.0,129.0,156.0,78.0,70.0,85.0,69.0,30.0,121.0,106.0,131.0,509.0,853.0
1706230,Qorako‘l tumani,Каракульский район,Karakul district,Қоракўл тумани,87.0,13.0,30.0,114.0,79.0,102.0,47.0,48.0,42.0,46.0,39.0,92.0,239.0,229.0,711.0,1094.0
1706232,Qorovulbozor tumani,Караулбазарский район,Qorovulbozor district,Қоровулбозор тумани,54.0,40.0,34.0,37.0,27.0,23.0,16.0,12.0,17.0,8.0,9.0,16.0,25.0,46.0,150.0,363.0
1706240,Peshku tumani,Пешкунский  район,Peshkun district,Пешку тумани,34.0,14.0,27.0,39.0,182.0,177.0,34.0,40.0,35.0,49.0,54.0,121.0,119.0,129.0,499.0,978.0
1706242,Romitan tumani,Ромитанский район,Romitan district,Ромитан тумани,342.0,172.0,189.0,125.0,245.0,247.0,61.0,59.0,40.0,41.0,46.0,50.0,140.0,126.0,455.0,1132.0
1706246,Jondor tumani,Жондоpский район,Jondor  district,Жондор тумани,128.0,174.0,269.0,498.0,225.0,235.0,109.0,57.0,58.0,56.0,33.0,36.0,52.0,98.0,313.0,972.0
1706258,Shofirkon tumani,Шафирканский район,Shafirkan district,Шофиркон тумани,177.0,206.0,280.0,308.0,171.0,330.0,240.0,131.0,102.0,96.0,114.0,87.0,118.0,141.0,480.0,928.0
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,759.0,902.0,606.0,934.0,1039.0,1162.0,1386.0,1140.0,821.0,743.0,853.0,1034.0,1315.0,1885.0,10632.0,15762.0
1708401,Jizzax shahri,Город Джизак,Jizzakh city,Жиззах шаҳри,320.0,334.0,175.0,322.0,243.0,190.0,179.0,305.0,199.0,240.0,277.0,253.0,321.0,447.0,2988.0,4100.0
1708201,Arnasoy tumani,Арнасайский район,Arnasay district,Aрнасой тумани,2.0,1.0,0.0,15.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,11.0,43.0,63.0,452.0,626.0
1708204,Baxmal tumani,Бахмальский район,Bakhmal district,Бахмал тумани,32.0,34.0,25.0,37.0,137.0,72.0,82.0,77.0,74.0,72.0,59.0,110.0,118.0,171.0,698.0,1062.0
1708209,G‘allaorol tumani,Галляаральский район,Gallaaral district,Ғаллаорол тумани,10.0,14.0,2.0,26.0,26.0,34.0,104.0,62.0,29.0,4.0,24.0,74.0,179.0,231.0,937.0,1456.0
1708212,Sharof Rashidov tumani,Шароф-Рашидовский  район,Sharof Rashidov  district,Шароф Рашидов тумани,168.0,121.0,89.0,91.0,67.0,70.0,122.0,108.0,52.0,53.0,92.0,108.0,138.0,178.0,1656.0,2209.0
1708215,Do‘stlik tumani,Дустликский район,Dustlik district,Дўстлик тумани,42.0,37.0,39.0,70.0,82.0,135.0,125.0,88.0,65.0,39.0,24.0,42.0,56.0,103.0,434.0,694.0
1708218,Zomin tumani,Зааминский район,Zomin district,Зомин тумани,3.0,101.0,93.0,78.0,246.0,285.0,219.0,78.0,19.0,65.0,77.0,76.0,89.0,133.0,906.0,1427.0
1708220,Zarbdor tumani,Зарбдарский район,Zarbdar district,Зарбдор тумани,122.0,129.0,77.0,130.0,113.0,186.0,169.0,63.0,34.0,26.0,33.0,51.0,61.0,56.0,488.0,815.0
1708223,Mirzacho‘l tumani,Мирзачульский район,Mirzachul district,Мирзачўл тумани,3.0,14.0,28.0,22.0,14.0,12.0,86.0,63.0,96.0,63.0,58.0,79.0,92.0,145.0,463.0,666.0
1708225,Zafarobod tumani,Зафарабадский район,Zafarabad district,Зафаробод тумани,16.0,23.0,24.0,37.0,38.0,50.0,18.0,37.0,83.0,63.0,68.0,72.0,63.0,80.0,351.0,570.0
1708228,Paxtakor tumani,Пахтакорский район,Pakhtakor district,Пахтакор тумани,37.0,52.0,28.0,65.0,22.0,49.0,57.0,66.0,69.0,59.0,62.0,92.0,89.0,112.0,441.0,814.0
1708235,Forish tumani,Фаришский район,Farish district,Фориш тумани,2.0,35.0,20.0,35.0,45.0,73.0,182.0,164.0,75.0,55.0,52.0,27.0,28.0,128.0,600.0,965.0
1708237,Yangiobod tumani,Янгиободский район,Yangiabad district,Янгиобод тумани,2.0,7.0,6.0,6.0,6.0,6.0,43.0,27.0,26.0,3.0,27.0,39.0,38.0,38.0,218.0,358.0
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,5016.0,4607.0,4207.0,3940.0,4424.0,1730.0,1096.0,935.0,719.0,635.0,741.0,937.0,1590.0,2711.0,14327.0,21065.0
1710401,Qarshi  shahri,Город Карши,Karshi city,Қарши шаҳри,1329.0,975.0,626.0,529.0,737.0,457.0,458.0,295.0,232.0,220.0,230.0,257.0,366.0,450.0,2358.0,3326.0
